Group Type,Metric,Strategy,Value,p-value,Significant
random,$NDCG_{mean}$,SAE-TopK,0.69177353,,False
sim,Popularity,ELSA-INT,0.42584333,,False
outlier,$NDCG_{com}$,SAE-TopK,0.5426734,,False
outlier,$NDCG_{min}$,SAE-TopK,0.49436113,0.4511107665322841,False
outlier,$NDCG_{min}$,SAE-Max,0.4946885,,False
random,$NDCG_{com}$,ADD,0.63250697,0.058066357560141744,False
sim,$NDCG_{mean}$,SAE-TopK,0.7033003,0.30973727852744853,False
random,$NDCG_{com}$,SAE-TopK,0.6353158,,False
sim,$NDCG_{mean}$,ADD,0.70359665,,False
random,Popularity,ELSA-INT,0.4142101,,False
outlier,$NDCG_{mean}$,SAE-TopK,0.6719432,,False
sim,$NDCG_{min}$,SAE-TopK,0.5582832,,False
sim,$NDCG_{min}$,ADD,0.55707026,0.12373726803954747,False
sim,$NDCG_{min}$,SAE-Avg,0.5581118,0.42315221470242304,False
sim,$NDCG_{com}$,SAE-Avg,0.6367474,0.060860872503739366,False
outlier,Popularity,ELSA-INT,0.17404938,,False
random,$NDCG_{min}$,SAE-Avg,0.53734607,0.2574872417952298,False
sim,$NDCG_{com}$,ADD,0.63668895,0.07485614299086167,False
random,$NDCG_{min}$,SAE-TopK,0.5381926,,False
sim,$NDCG_{com}$,SAE-TopK,0.63861185,,False
outlier,$NDCG_{com}$,POPULAR,0.43579206,2.6028196683474454e-54,True
random,$NDCG_{mean}$,ELSA-INT,0.57851934,2.18774270427613e-146,True
random,$NDCG_{mean}$,SAE-Avg,0.6888917,4.180855083984124e-05,True
outlier,$NDCG_{com}$,SAE-Max,0.51934594,4.900109430412306e-12,True
outlier,$NDCG_{com}$,ADD,0.51958597,5.252898596928203e-15,True
random,$NDCG_{mean}$,ELSA,0.67572486,4.343896750646139e-23,True
random,$NDCG_{mean}$,SAE-ComF,0.63883287,2.149583934639859e-110,True
outlier,$NDCG_{com}$,LMS,0.4184398,7.228170331178107e-69,True
outlier,$NDCG_{com}$,SAE-ComF,0.4028251,9.767434506555525e-109,True
outlier,$NDCG_{com}$,GFAR,0.36893404,2.2715317371273015e-197,True
outlier,$NDCG_{com}$,SAE-WCom,0.51791394,8.692814090637123e-20,True
random,Popularity,LMS,0.5107029,3.861077904063035e-122,True
random,Popularity,MPL,0.44915473,1.025026375841235e-30,True
outlier,$NDCG_{com}$,MPL,0.25654325,4.5017178464311174e-306,True
random,Popularity,ELSA,0.5273773,1.7794407944309682e-204,True
random,Popularity,SAE-Avg,0.5410824,6.581037504104101e-171,True
random,Popularity,SAE-ComF,0.49128443,4.2424552867163805e-87,True
outlier,$NDCG_{com}$,SAE-Avg,0.524008,4.0943638297834415e-11,True
random,Popularity,SAE-Max,0.54372156,1.6984642822043254e-176,True
random,Popularity,EPFuzzDA,0.5325361,2.4043940876560243e-166,True
random,Popularity,SAE-TopK,0.55689406,3.0368278447546475e-182,True
random,Popularity,SAE-WCom,0.54116815,1.295547531700269e-154,True
random,Popularity,GFAR,0.48103887,3.9887677236425345e-81,True
random,Popularity,POPULAR,0.6774077,2.9836600497097224e-295,True
random,Popularity,ADD,0.5422744,6.420033679797819e-179,True
outlier,$NDCG_{com}$,EPFuzzDA,0.48120302,3.782698143739215e-38,True
outlier,$NDCG_{com}$,ELSA-INT,0.11978441,0.0,True
sim,$NDCG_{com}$,MPL,0.47745356,4.734787955177496e-206,True
outlier,$NDCG_{min}$,MPL,0.30250007,9.448207487340685e-212,True
outlier,$NDCG_{mean}$,SAE-Avg,0.66275954,1.3330094157541935e-13,True
outlier,$NDCG_{mean}$,ELSA-INT,0.40280887,0.0,True
outlier,$NDCG_{mean}$,ELSA,0.58857656,1.5764055417545335e-107,True
outlier,Popularity,MPL,0.30419853,2.440489843924611e-212,True
outlier,Popularity,EPFuzzDA,0.423887,0.0,True
outlier,Popularity,GFAR,0.38514328,2.036e-321,True
outlier,$NDCG_{mean}$,SAE-ComF,0.56387436,1.0491461142770097e-189,True
outlier,Popularity,LMS,0.38532832,4.211992551926955e-306,True
outlier,Popularity,POPULAR,0.67541254,0.0,True
outlier,Popularity,SAE-WCom,0.4803833,0.0,True
outlier,Popularity,SAE-TopK,0.5038513,0.0,True
outlier,Popularity,SAE-Max,0.47187373,0.0,True
outlier,Popularity,SAE-ComF,0.37388483,7.699967317432145e-235,True
outlier,Popularity,SAE-Avg,0.47252166,0.0,True
outlier,Popularity,ADD,0.46228382,0.0,True
outlier,$NDCG_{mean}$,SAE-Max,0.6512401,6.801185049783713e-39,True
outlier,$NDCG_{mean}$,SAE-WCom,0.6589977,2.5122974694179637e-28,True
outlier,$NDCG_{mean}$,POPULAR,0.5938767,2.289813521925652e-109,True
outlier,$NDCG_{min}$,EPFuzzDA,0.4655069,2.428122089012446e-15,True
outlier,$NDCG_{min}$,GFAR,0.4142908,2.369267838339552e-103,True
outlier,$NDCG_{min}$,LMS,0.40040118,8.982765100021217e-91,True
random,$NDCG_{mean}$,SAE-Max,0.6819238,2.3734645832201386e-21,True
outlier,$NDCG_{min}$,POPULAR,0.4119522,2.3714892519993185e-61,True
outlier,$NDCG_{min}$,SAE-WCom,0.46745396,2.5217090950200703e-17,True
outlier,$NDCG_{min}$,SAE-ComF,0.3972249,7.617982238735458e-105,True
outlier,$NDCG_{min}$,SAE-Avg,0.48074067,1.1160941857987203e-07,True
outlier,$NDCG_{min}$,ELSA-INT,0.12920249,0.0,True
outlier,$NDCG_{min}$,ELSA,0.3450597,6.272495939931096e-125,True
outlier,$NDCG_{mean}$,MPL,0.48437464,0.0,True
outlier,$NDCG_{mean}$,EPFuzzDA,0.6192867,3.3051913243457133e-131,True
outlier,$NDCG_{mean}$,GFAR,0.55978686,9.18436622e-315,True
outlier,$NDCG_{mean}$,LMS,0.5585591,2.256535691827514e-223,True
outlier,$NDCG_{mean}$,ADD,0.661364,8.598082907939142e-18,True
outlier,$NDCG_{com}$,ELSA,0.38249505,1.095605653498267e-107,True
outlier,$NDCG_{min}$,ADD,0.4748141,1.0681457987554687e-11,True
random,$NDCG_{min}$,ELSA,0.488255,1.8912959993191492e-57,True
random,$NDCG_{mean}$,POPULAR,0.5799325,5.427814713788392e-190,True
sim,$NDCG_{min}$,ELSA,0.53000367,1.1172353277337737e-53,True
sim,$NDCG_{mean}$,MPL,0.6149149,5.268217611027963e-234,True
sim,$NDCG_{mean}$,EPFuzzDA,0.6942792,3.2881275786120247e-25,True
sim,$NDCG_{mean}$,GFAR,0.6568602,7.96939270797416e-168,True
sim,$NDCG_{mean}$,LMS,0.67436826,2.135278669619981e-82,True
sim,$NDCG_{mean}$,POPULAR,0.5152686,1.746346647769384e-231,True
sim,$NDCG_{min}$,ELSA-INT,0.4441774,2.0631614468087572e-138,True
sim,$NDCG_{mean}$,SAE-WCom,0.69830185,6.253364269803473e-13,True
sim,$NDCG_{mean}$,SAE-ComF,0.67260045,3.5584042441571766e-61,True
sim,$NDCG_{mean}$,SAE-Avg,0.7026698,0.033322587942675695,True
sim,$NDCG_{mean}$,ELSA-INT,0.6325863,3.9550695914272196e-141,True
sim,$NDCG_{mean}$,ELSA,0.69747365,4.2159959063814855e-16,True
sim,Popularity,MPL,0.446212,3.5592666863948217e-16,True
sim,Popularity,EPFuzzDA,0.49495393,7.635072972200369e-116,True
sim,$NDCG_{mean}$,SAE-Max,0.69316363,3.353842985891737e-23,True
sim,Popularity,GFAR,0.46688163,3.9937561287545835e-57,True
sim,$NDCG_{min}$,SAE-ComF,0.5220409,5.532011156611055e-38,True
sim,$NDCG_{min}$,SAE-WCom,0.5523594,3.6006664563048022e-06,True
sim,$NDCG_{com}$,EPFuzzDA,0.6310973,7.859376467896163e-05,True
sim,$NDCG_{com}$,GFAR,0.5596859,8.279630785180418e-121,True
sim,$NDCG_{com}$,LMS,0.6195217,2.6583197151667067e-09,True
sim,$NDCG_{com}$,POPULAR,0.38765305,1.640192385000493e-192,True
sim,$NDCG_{com}$,SAE-WCom,0.63015026,9.134067902661642e-07,True
sim,$NDCG_{com}$,SAE-Max,0.62054056,1.9089777384917957e-14,True
sim,$NDCG_{min}$,SAE-Max,0.5489647,7.160652646484497e-08,True
sim,$NDCG_{com}$,SAE-ComF,0.59176576,7.725544620290724e-33,True
sim,$NDCG_{com}$,ELSA,0.6154058,2.982228058640698e-26,True
sim,$NDCG_{min}$,MPL,0.46106538,4.791056020783811e-142,True
sim,$NDCG_{min}$,EPFuzzDA,0.5534964,0.002223868682701848,True
sim,$NDCG_{min}$,GFAR,0.5170386,5.798387969859034e-66,True
sim,$NDCG_{min}$,LMS,0.5355614,1.4763997023392588e-23,True
sim,$NDCG_{min}$,POPULAR,0.35393733,1.2256995815861262e-209,True
sim,$NDCG_{com}$,ELSA-INT,0.49959075,4.429549923288718e-139,True
random,$NDCG_{mean}$,SAE-WCom,0.68519336,1.273402660966427e-12,True
sim,Popularity,LMS,0.47832915,9.47333729535658e-66,True
sim,Popularity,POPULAR,0.6846168,8.732540675345529e-289,True
random,$NDCG_{min}$,EPFuzzDA,0.53277785,0.010530438869460621,True
random,$NDCG_{min}$,GFAR,0.47598645,2.914596855202051e-88,True
random,$NDCG_{min}$,LMS,0.49712446,1.0930372516245286e-40,True
random,$NDCG_{min}$,ADD,0.53543764,0.03737440990842125,True
random,$NDCG_{min}$,POPULAR,0.4102347,3.4491313742525524e-147,True
random,$NDCG_{min}$,SAE-WCom,0.5286354,6.757242374370423e-09,True
random,$NDCG_{min}$,MPL,0.40963393,1.1027414354740106e-165,True
random,$NDCG_{min}$,SAE-Max,0.5347084,0.02827286446800859,True
random,$NDCG_{min}$,ELSA-INT,0.36230928,1.8488779879180072e-153,True
random,$NDCG_{mean}$,MPL,0.5700764,4.6505524979971685e-258,True
random,$NDCG_{mean}$,EPFuzzDA,0.6766336,2.1550147392532622e-32,True
random,$NDCG_{mean}$,GFAR,0.61901695,5.365225073301504e-195,True
random,$NDCG_{mean}$,LMS,0.6453695,2.745215242128912e-99,True
random,$NDCG_{mean}$,ADD,0.690059,0.01428651212236931,True
random,$NDCG_{min}$,SAE-ComF,0.4873904,2.4804966427551252e-56,True
sim,Popularity,ADD,0.497208,1.671845387783451e-135,True
random,$NDCG_{com}$,ELSA,0.58988625,7.271333906530368e-36,True
random,$NDCG_{com}$,SAE-Avg,0.6318562,0.023627327091711735,True
sim,Popularity,SAE-WCom,0.48282623,7.396863121782471e-93,True
sim,Popularity,SAE-TopK,0.4992929,1.2206546083854888e-125,True
sim,Popularity,SAE-Max,0.5052601,1.6283284840437643e-145,True
sim,Popularity,SAE-ComF,0.4654806,8.049024718485061e-37,True
sim,Popularity,SAE-Avg,0.49403897,1.5406177250863538e-122,True
sim,Popularity,ELSA,0.49365667,3.461248337992043e-157,True
random,$NDCG_{com}$,ELSA-INT,0.42169374,9.383500710534083e-153,True
random,$NDCG_{com}$,MPL,0.41080287,1.586979540326843e-244,True
random,$NDCG_{com}$,GFAR,0.50676996,1.2831846712459368e-152,True
random,$NDCG_{com}$,LMS,0.606742,1.3007687516281931e-11,True
random,$NDCG_{com}$,POPULAR,0.46578348,4.864085095357983e-142,True
random,$NDCG_{com}$,SAE-WCom,0.62517506,1.0115245079693612e-05,True
random,$NDCG_{com}$,SAE-Max,0.6215948,5.415097372619814e-09,True
random,$NDCG_{com}$,SAE-ComF,0.5580526,2.8826880488280457e-68,True
random,$NDCG_{com}$,EPFuzzDA,0.6238317,3.140979778086467e-05,True
outlier,Popularity,ELSA,0.36743024,3.00787e-319,True
